rep,id,phiS,deltaS,phiL,deltaL,deltaA,eta_phiS,eta_deltaS,eta_phiL,eta_deltaL,eta_deltaA
1,1,-0.148928402450142,-3.33870253834662,-0.61039231673284,-5.77147301576643,0.099039275980979,-0.218215598048125,-0.516671391731252,-0.0262497589872726,3.82474292419889,0.252347822174514
1,2,-0.110139680688389,-2.30472779170063,-0.513178843404619,-7.91647033264711,-0.0911501739489721,-0.179426876286372,0.517303354914741,0.0709637143409482,1.6797456073182,0.0621583722445631
1,3,0.0228951296973727,-2.30264097727859,-0.617153009438296,-9.0344256563688,-0.317900096782173,-0.0463920659006094,0.519390169336775,-0.0330104516927288,0.561790283596512,-0.164591550588638
1,4,0.130158223369433,-2.46107063163904,-0.581345208424845,-8.39633659562382,-0.134328572249479,0.0608710277714512,0.360960514976323,0.00279734932072162,1.19987934434149,0.0189799739440561
1,5,-0.0653490351198425,-2.30144511377113,-0.567321262099088,-9.55312722289999,0.155188103942281,-0.134636230717825,0.520586032844236,0.0168212956464791,0.0430887170653236,0.308496650135816
1,6,-0.0188292218429436,-2.92824124650507,-0.643369323865846,-9.72414580780155,0.112190577273482,-0.0881164174409258,-0.106210099889699,-0.0592267661202788,-0.127929867836233,0.265499123467017
1,7,0.0433087842281212,-2.5194043176993,-0.575350558345999,-11.5347215338222,0.0131188076604391,-0.0259784113698609,0.302626828916065,0.00879199939956843,-1.93850559385693,0.166427353853974
1,8,0.104043499363218,-1.84649158699727,-0.530553725271783,-6.95008665822311,-0.111297114649327,0.0347563037652361,0.975539559618102,0.0535888324737839,2.64612928174221,0.0420114315442082
1,9,0.232085903857701,-2.32018802128707,-0.551187058280369,-11.8628123264745,-0.512759663802736,0.162798708259718,0.501843125328297,0.032955499465198,-2.26659638650922,-0.359451117609201
1,10,-0.270497805069477,-3.02567087727762,-0.527897255013287,-8.978815411015,-0.104392093392694,-0.339785000667459,-0.203639730662252,0.0562453027322799,0.617400528950316,0.0489164528008413
1,11,-0.0761462710057127,-2.019735131293,-0.682707512246667,-10.4444372977108,-0.101647313689151,-0.145433466603695,0.802296015322371,-0.0985649545010999,-0.848221357745443,0.0516612325043837
1,12,0.299823717738028,-2.8624726409395,-0.543317917165242,-11.5206444584193,-0.417915935551463,0.230536522140046,-0.0404414943241336,0.0408246405803251,-1.924428518454,-0.264607389357928
1,13,0.122116893531268,-2.98829616933662,-0.662416470608594,-7.24386816196506,-0.117795295188985,0.0528296979332861,-0.166265022721247,-0.0782739128630274,2.35234777800026,0.0355132510045499
