id,eta_phiS_SAEM,eta_deltaS_SAEM,eta_phiL_SAEM,eta_deltaL_SAEM,eta_deltaA_SAEM,eta_phiS_mean,eta_deltaS_mean,eta_phiL_mean,eta_deltaL_mean,eta_deltaA_mean,eta_phiS_mode,eta_deltaS_mode,eta_phiL_mode,eta_deltaL_mode,eta_deltaA_mode,eta_phiS_sd,eta_deltaS_sd,eta_phiL_sd,eta_deltaL_sd,eta_deltaA_sd,GROUP
180,0.00955564,-0.228594,-0.00758686,-0.253793,-0.117072,-0.0485627,-0.214238,0.00428537,-0.239885,-0.149514,0.00450957,-0.216462,0.00368895,-0.00689559,-0.119208,0.112187,0.160365,0.0574969,1.533,0.100756,1
181,0.0403884,-0.405403,0.0217126,0.160517,-0.0557121,0.0437477,-0.426598,0.00427666,-0.159703,-0.0507845,0.0355045,-0.433159,0.0036649,-0.00348446,-0.0534086,0.107376,0.115396,0.051749,1.66672,0.0902219,1
182,-0.046259,-0.142173,0.00900571,-0.0799671,-0.0143048,-0.0435913,-0.16737,0.010297,0.0266314,7.31051e-7,-0.0220697,-0.15844,0.00184171,-0.00477821,0.00743442,0.108838,0.114715,0.0609239,1.29414,0.0668591,1
183,-0.0525742,-0.323582,0.0048636,-0.195544,0.0171845,-0.0126402,-0.342439,0.00936244,-0.0278148,0.0529297,-0.0189737,-0.32211,0.00213224,-0.00467667,0.033348,0.139983,0.103028,0.0637011,1.58836,0.0947181,1
184,0.158448,-0.117301,0.0147449,0.0955774,-0.205352,0.120044,-0.1179,0.0021696,0.231151,-0.239077,0.138602,-0.0954947,0.000518417,0.0087461,-0.23844,0.147572,0.119501,0.0551168,1.44244,0.115311,1
185,-0.243219,-0.455397,0.00430761,0.0539809,0.127091,-0.0579128,-0.501199,-0.000800254,0.041513,0.260375,-0.133755,-0.478552,0.000820194,-0.0135505,0.202038,0.122327,0.109825,0.0636703,1.50947,0.0918148,1
186,0.0266005,-1.00717,0.00761778,-0.022305,0.00842535,0.00492309,-0.974143,0.00822721,0.145513,-0.0124627,0.000584841,-0.956461,0.00571153,-0.0139557,-0.0171276,0.145462,0.165779,0.0536253,1.39956,0.0980865,1
187,0.0156365,0.659212,-0.0203624,0.0547181,-0.127898,0.043528,0.640351,-0.0264723,-0.260132,-0.112544,0.0557813,0.639997,-0.0105279,0.0120434,-0.104514,0.134716,0.118275,0.0602494,1.35895,0.0667226,1
188,-0.0629017,0.0555131,0.014807,-0.165951,0.0184898,-0.13697,0.0428089,0.00493354,-0.156251,-0.0199037,-0.0876611,0.067471,0.00568191,-0.0176171,-0.00790358,0.0998555,0.102348,0.0703578,1.36965,0.0623119,1
189,-0.207906,-0.368161,-0.0150217,0.153823,0.124174,-0.2012,-0.362003,-0.00640077,-0.193769,0.128606,-0.133197,-0.374827,0.001273,-0.0142778,0.172462,0.122422,0.146326,0.0611355,1.44953,0.0841626,1
190,-0.00661274,0.105561,-0.0104699,0.0291465,0.0624798,0.0158642,0.0868239,-0.018214,-0.283046,0.0822952,0.0201954,0.0835989,-0.00828531,0.0175768,0.086668,0.112374,0.105229,0.0515884,1.41825,0.0768145,1
191,0.00285439,-0.916071,0.0163088,0.279009,-0.011822,-0.0211214,-0.897252,0.0208679,-0.0117422,-0.0296767,0.0122241,-0.900541,0.00569246,-0.0121526,-0.00854943,0.0950043,0.115244,0.0485148,1.63962,0.0697638,1
192,0.163617,-0.577668,0.0137762,-0.114489,-0.240304,0.087831,-0.535177,0.00507798,-0.0235482,-0.307371,0.125987,-0.546702,0.00654429,-0.00361969,-0.279672,0.15085,0.127864,0.050248,1.34385,0.114425,1
193,-0.0332693,-0.433917,0.00278734,-0.0203146,0.111696,-0.0249161,-0.381481,0.0160042,-0.0830788,0.0998953,-0.0557582,-0.398968,0.00207683,-0.00798868,0.0820902,0.121842,0.103141,0.0645977,1.30635,0.0885674,1
194,0.0283538,-0.348596,0.0191715,0.0758536,-0.0326799,0.00735639,-0.344939,-0.00174575,-0.0561114,-0.053969,0.0265096,-0.344732,0.00294526,-0.00271445,-0.0436616,0.1233,0.0870508,0.0574817,1.63561,0.0793552,1
195,0.00651299,-0.061516,0.00408485,0.255099,0.217517,-0.0184322,-0.0233105,-0.00927234,-0.0401971,0.180289,-0.0741925,-0.0136447,-0.00198749,-0.00119969,0.148255,0.122499,0.108759,0.0676674,1.40725,0.0782974,1
196,-0.0500907,0.187767,0.0113214,-0.231068,0.222591,-0.0959363,0.136882,-0.0136069,0.144578,0.210529,-0.0981865,0.18148,-0.00372225,-0.000451027,0.18817,0.127165,0.134536,0.054708,1.43796,0.0988575,1
197,0.173385,-1.22457,0.00634392,-0.160853,-0.126278,0.0842588,-1.27961,0.0121579,-0.0681379,-0.174654,0.108854,-1.25345,0.00927589,-0.0165212,-0.16211,0.128604,0.173079,0.0615393,1.57851,0.0904036,1
198,0.0464313,-0.758626,0.00118929,0.362084,-0.134444,0.0445956,-0.720499,-0.0023217,-0.0643673,-0.149464,0.0500834,-0.702882,0.00611741,-0.00897554,-0.144734,0.110289,0.148046,0.0587028,1.33702,0.0744354,1
199,0.129757,0.492872,-0.0605456,0.771943,0.238078,0.0908437,0.543374,-0.0499275,0.535874,0.194296,0.13738,0.501563,-0.0534707,0.0971127,0.240554,0.135169,0.103432,0.0586991,1.68743,0.0881482,1
200,-0.135353,-0.339748,-0.00194378,-0.18465,0.130688,-0.0943897,-0.341542,0.0206651,-0.286401,0.157989,-0.10633,-0.362027,0.00122341,-0.011096,0.154223,0.106459,0.108011,0.0593884,1.4594,0.0710259,1
