id,eta_phiS_SAEM,eta_deltaS_SAEM,eta_phiL_SAEM,eta_deltaL_SAEM,eta_deltaA_SAEM,eta_phiS_mean,eta_deltaS_mean,eta_phiL_mean,eta_deltaL_mean,eta_deltaA_mean,eta_phiS_mode,eta_deltaS_mode,eta_phiL_mode,eta_deltaL_mode,eta_deltaA_mode,eta_phiS_sd,eta_deltaS_sd,eta_phiL_sd,eta_deltaL_sd,eta_deltaA_sd,GROUP
34,0.00900114,0.0969234,-0.0280046,-0.0260049,0.135654,0.0118772,0.0501751,-0.0264191,0.0280338,0.147819,0.0148765,0.0677168,-0.0297326,0.0275633,0.140554,0.105499,0.223814,0.0777703,0.358162,0.0960377,0
35,0.0105648,0.313505,-0.00826805,0.0242231,0.036825,0.0142623,0.289824,-0.0280169,0.0126709,0.0275264,0.0129881,0.300771,-0.0204924,0.0122437,0.0277195,0.116279,0.217993,0.0592686,0.355506,0.0895032,0
36,0.0927824,0.347506,-0.0172308,0.0626836,-0.0719773,0.103338,0.40875,-0.018081,0.00126067,-0.089178,0.0708824,0.400456,-0.0420619,0.0310435,-0.113171,0.116448,0.200256,0.0647558,0.396797,0.0828972,0
37,0.0258077,0.427897,-0.0500363,0.0119995,-0.00936705,0.0138654,0.425801,-0.035192,0.182505,-0.00311698,0.0361081,0.467288,-0.0368133,0.0213796,-0.0166813,0.105558,0.210922,0.060332,0.390213,0.0869848,0
38,-0.0790324,-0.206966,0.0111972,-0.000316499,0.24928,-0.101614,-0.12872,0.0060978,-0.0807717,0.214112,-0.100661,-0.19768,0.0142245,-0.0337143,0.235784,0.0962198,0.226586,0.0674081,0.376523,0.0760498,0
39,-0.057772,-0.36234,0.0373738,0.0451629,0.0389831,-0.0537603,-0.484005,0.0195679,-0.0115498,0.0663752,-0.0488229,-0.454825,0.0167523,-0.0247826,0.0579052,0.0974562,0.176524,0.080457,0.358828,0.0666136,0
40,0.0844612,-0.806274,0.0331238,-0.0482447,-0.366867,0.0399954,-0.758181,0.0400247,-0.0713332,-0.397098,0.0730695,-0.76625,0.0352138,-0.0135828,-0.383249,0.125603,0.187877,0.0888133,0.474263,0.0804656,0
41,-0.00173343,0.287888,-0.0148782,-0.0167337,0.0857194,0.0114513,0.277842,-0.011408,0.0168143,0.090689,0.00109487,0.285786,-0.0183121,0.00921092,0.0757033,0.101529,0.244212,0.0660961,0.411917,0.0771194,0
42,0.0482997,0.105701,-0.0389558,0.0831481,-0.165763,0.0761246,0.109094,0.00571035,0.040308,-0.12807,0.0774862,0.0747065,-0.0279349,0.0357526,-0.138304,0.10137,0.201638,0.0846193,0.388538,0.0780022,0
43,-0.0285656,-0.00958911,-0.0203974,-0.0377993,-0.00306936,-0.0332018,0.00817784,-0.0074185,0.0121813,0.00060271,-0.00630243,0.00513844,-0.000438591,-0.000554326,0.00908895,0.0982567,0.181511,0.0741301,0.347806,0.0737776,0
44,0.115315,-0.786044,0.0284376,-0.0134566,-0.483325,0.0975573,-0.798154,0.0551034,-0.0385197,-0.480886,0.0858119,-0.744635,0.0389546,-0.0150841,-0.506904,0.10874,0.172914,0.075712,0.388321,0.0760471,0
45,0.0234325,0.313211,-0.0411751,-0.00582271,0.163244,0.0391431,0.305378,-0.0570164,-0.0883036,0.158993,0.0152922,0.312501,-0.0383958,0.025801,0.156689,0.115957,0.149295,0.0721172,0.380202,0.0792952,0
46,-0.0815517,-0.445241,0.0187883,-0.0279039,0.176091,-0.0836859,-0.400302,0.0439025,0.0303936,0.177742,-0.0773619,-0.491565,0.0114655,-0.0273285,0.185351,0.115548,0.252369,0.0815471,0.388387,0.103788,0
47,-0.0386356,0.334739,-0.0192564,0.00144512,0.0836429,-0.0470188,0.407626,0.016549,-0.0424313,0.0892981,-0.0328858,0.385666,0.00191973,-0.0123013,0.0804187,0.108411,0.252163,0.0733317,0.363115,0.0781257,0
48,0.0255569,-0.270731,0.00373724,0.0593538,-0.120755,0.0343298,-0.278069,0.0105818,-0.00552971,-0.103103,0.0378867,-0.268097,0.00588766,0.00662743,-0.113597,0.102173,0.210693,0.0805059,0.434859,0.0772756,0
49,0.0189527,0.0807615,-0.00614984,0.0125287,-0.144247,0.0205497,0.115776,0.0296022,-0.0564829,-0.131916,0.0276499,0.0846539,0.000757481,0.00256752,-0.143309,0.107854,0.230262,0.0749322,0.369648,0.0884123,0
50,0.0502983,0.333754,-0.0282699,0.0504269,-0.0708578,0.0493154,0.288138,-0.026702,0.153087,-0.0546764,0.0482333,0.294368,-0.0299895,0.0241705,-0.063528,0.11162,0.206855,0.0872691,0.323199,0.0961875,0
51,-0.00246619,-0.675246,0.02236,-0.0629904,-0.220901,-0.023079,-0.768193,0.0145802,0.0141889,-0.207782,0.0109139,-0.675347,0.0276007,-0.0214312,-0.21385,0.103985,0.198475,0.082588,0.385992,0.0682998,0
52,0.0462626,0.0773675,-0.015829,0.0623766,-0.0515456,0.0119762,0.0398884,-0.0508303,0.0194232,-0.0755543,0.0486342,0.095114,-0.0192385,0.02227,-0.0611494,0.104505,0.196582,0.0877138,0.435181,0.0802093,0
53,0.0120251,0.213513,-0.0111194,-0.0281761,0.0217946,0.017636,0.168732,0.0047981,0.0321212,0.0480409,0.00127829,0.218292,-0.011537,0.00622493,0.0144201,0.120804,0.187635,0.0745382,0.458639,0.0797172,0
54,0.0570512,-0.942096,0.0197152,-0.0503484,-0.201212,-0.0864294,-0.841177,0.0417176,-0.0188124,-0.280602,0.0366267,-0.875108,0.0324554,-0.0209022,-0.219812,0.113002,0.203321,0.0978467,0.414247,0.0700284,0
55,-0.0514021,-0.53888,0.0130453,-0.0546559,0.211181,-0.0870425,-0.488291,0.0355172,-0.0886907,0.195355,-0.0811037,-0.520583,0.0120364,-0.0293976,0.191643,0.114565,0.2682,0.0882648,0.371137,0.0848992,0
56,-0.0704271,-0.746083,0.00542147,-0.109482,0.0564548,-0.0506098,-0.836309,0.0159856,-0.00598882,0.0925876,-0.0508321,-0.775855,0.0181724,-0.0296802,0.0800084,0.116136,0.214398,0.0800599,0.345421,0.0864408,0
57,-0.0253079,-0.599485,0.0216959,0.0289513,-0.132783,-0.0176702,-0.55513,0.0285965,-0.0742306,-0.138841,-0.0104206,-0.620716,0.0241535,-0.0232014,-0.122436,0.0993773,0.195609,0.0708815,0.377208,0.0723978,0
58,-0.0808279,-0.646212,-0.00303773,-0.0825771,0.308051,-0.127714,-0.536859,0.0246559,-0.0153864,0.277903,-0.115701,-0.534949,0.0107712,-0.0389686,0.270068,0.0994937,0.237541,0.0825439,0.370532,0.081743,0
59,-0.0161877,0.0368227,0.0150803,-0.0719829,-0.364965,-0.037773,0.0304207,0.0638419,-0.0257102,-0.343239,-0.0260401,0.0361605,0.0535097,-0.048263,-0.355129,0.130865,0.256827,0.0820958,0.322431,0.0723321,0
60,0.0182329,0.0213482,0.0108256,-0.00385758,-0.0354243,-0.00498944,0.00515454,-0.0107093,0.00142723,-0.0532491,0.00713284,0.0097898,0.00140576,-4.44792e-5,-0.0460662,0.109325,0.224654,0.0748685,0.407425,0.0802051,0
61,-0.00122291,0.0521375,-0.00634692,0.0439453,0.314404,-0.00514416,0.0980728,-0.0256119,0.018489,0.284776,-0.0223339,0.111792,-0.0293726,0.0195627,0.267304,0.101097,0.181843,0.0864008,0.348762,0.082301,0
62,-0.00766866,-0.505001,0.0405968,0.0509375,-0.0839225,0.0330562,-0.562023,0.0127365,-0.0357655,-0.0580892,-0.00218613,-0.523403,0.0201423,-0.0159558,-0.0837352,0.104999,0.221515,0.0799509,0.383771,0.0864866,0
63,-0.118638,-0.116641,0.0164435,-0.0370508,0.356405,-0.112867,-0.130673,0.0224157,-0.0439184,0.370672,-0.121831,-0.11506,0.00820988,-0.0324285,0.347759,0.124353,0.244868,0.0794565,0.360618,0.0972893,0
64,-0.0070855,0.159359,0.0265012,-0.00174711,-0.186623,-0.0615416,0.232112,0.0409514,-0.0856257,-0.204701,-0.0241327,0.19968,0.0332171,-0.0317763,-0.195962,0.127859,0.229902,0.0608142,0.414274,0.0735178,0
65,-0.0241632,-0.217616,-0.00581301,0.0263832,-0.0924202,0.01704,-0.2466,0.00873715,0.0315822,-0.0571513,-0.00744496,-0.202238,0.0137246,-0.0114626,-0.0805832,0.107331,0.24382,0.0864712,0.392915,0.0808778,0
66,0.0625242,0.0788545,0.0171001,0.0483974,-0.216025,0.0291562,0.104538,0.0221833,-0.0284349,-0.223911,0.0213579,0.193269,0.0173347,-0.0135519,-0.262999,0.105592,0.222231,0.0819907,0.32356,0.0957564,0
67,-0.0479225,-0.305972,0.0239785,-0.0907145,0.0353916,-0.0483397,-0.290295,0.0191973,-0.0619128,0.0238087,-0.0509536,-0.295089,0.019986,-0.0277666,0.0247381,0.105702,0.237935,0.0693335,0.36635,0.0770536,0
68,-0.0417174,-0.251966,0.0176378,-0.0399617,-0.0319249,-0.0780928,-0.246856,0.0320622,-0.00634236,-0.033414,-0.0370914,-0.322301,0.0186678,-0.0231304,-0.00683871,0.116111,0.236687,0.0813361,0.350144,0.0803746,0
69,-0.0433134,0.736471,0.0248045,-0.0761375,-0.114133,-0.0563014,0.677125,0.0560579,-0.0543425,-0.0785494,-0.0395561,0.80098,0.0383346,-0.0424854,-0.121332,0.112511,0.209873,0.0625612,0.381587,0.0644733,0
70,-0.0509875,0.261204,0.01969,0.0495378,0.158672,-0.0808283,0.20871,-0.00787135,0.00552749,0.147219,-0.0723319,0.166192,0.0116719,-0.0234384,0.172721,0.123863,0.307654,0.0771914,0.401876,0.096294,0
71,0.0580689,-0.349626,0.0411695,0.0404605,-0.292814,0.0431152,-0.358271,0.0268921,-0.0299372,-0.300381,0.0568273,-0.367301,0.0186235,-0.00079668,-0.30194,0.110588,0.180612,0.0794238,0.388435,0.0744681,0
72,-0.0178469,0.741839,0.00971454,-0.0824692,0.0346035,-0.0365417,0.859509,-0.0108753,-0.0865278,0.00116862,-0.0265466,0.844974,0.00303963,-0.0214528,0.0080799,0.12478,0.245975,0.0847578,0.410189,0.098806,0
73,0.0377675,0.0382492,-0.0368026,0.0288701,-0.156652,0.0399156,0.0807933,-0.015929,-0.00771307,-0.152914,0.0637345,0.068458,-0.0172398,0.0241053,-0.148914,0.0993569,0.196838,0.0592531,0.410555,0.0800287,0
74,-0.0374049,-0.00433348,-0.0416445,0.0631102,0.0531745,0.00482433,0.0494803,-0.00963006,-0.00184327,0.0718921,-0.00204446,0.00603995,-0.0104868,0.00891,0.0807715,0.105006,0.235025,0.0719966,0.347149,0.0721162,0
75,0.0166363,-0.707299,0.0128722,-0.00457078,-0.301241,0.0363881,-0.652808,0.0381484,-0.0217725,-0.291157,0.0351694,-0.673415,0.0299972,-0.0174791,-0.290404,0.101454,0.172491,0.0610604,0.378385,0.0757899,0
76,-0.00830456,-0.14484,0.0176667,0.00938667,-0.219741,0.0506961,-0.290666,0.00587333,0.0832242,-0.160003,0.0201555,-0.225183,0.0150459,-0.00665292,-0.189376,0.0995137,0.195901,0.0721907,0.417073,0.0756644,0
77,-0.0165769,-0.101694,0.0362168,-0.00252647,-0.0464093,-0.0268774,-0.200931,0.0169883,0.0529732,-0.0292729,-0.0182667,-0.0965842,0.0157211,-0.0161763,-0.0640739,0.125568,0.249318,0.0935691,0.418385,0.0809617,0
78,0.0446657,0.190261,-0.0100677,0.0175989,0.0963459,0.0112852,0.20577,-0.00723026,-0.030347,0.0849358,0.0146412,0.261582,-0.022806,0.0151782,0.0535845,0.131712,0.21981,0.0760459,0.410142,0.0852444,0
79,0.020511,-0.00818818,-0.000199516,0.0219652,-0.0802694,0.0208631,-0.0297549,-0.0305828,-0.0324488,-0.0864062,0.0166996,-0.00150088,-0.00216748,0.00552278,-0.0828637,0.0936251,0.180607,0.0771279,0.425157,0.0598992,0
80,0.0742388,0.0918879,-0.016431,0.132616,-0.0778967,0.076069,0.133166,-0.027151,0.0312356,-0.0964574,0.0626988,0.138019,-0.0257617,0.0287734,-0.104341,0.116478,0.198101,0.0803315,0.386089,0.0826049,0
81,0.0259176,-0.0731854,0.0193722,0.0258874,-0.188794,0.055955,-0.13088,0.0127806,0.0663331,-0.167757,0.0317384,-0.144157,0.0105773,-0.0013896,-0.172486,0.114031,0.192005,0.0632638,0.337263,0.0763247,0
82,-0.0480136,0.0738436,0.0822313,0.0137601,-0.28433,-0.0521792,0.0135093,0.0311202,-0.0169987,-0.297536,-0.0417452,0.00542631,0.0543501,-0.0523471,-0.288971,0.133719,0.423607,0.0990549,0.388075,0.113697,0
83,0.0940235,0.110439,-0.0281856,-0.0347889,0.0267458,0.0663655,0.123126,-0.0519891,-0.0157465,0.00575163,0.0766379,0.108084,-0.046573,0.0507371,0.0103875,0.126307,0.142574,0.0591921,0.30223,0.0770895,0
84,0.0642394,0.357595,-0.0759716,0.0365509,0.166398,0.0571364,0.416489,-0.0642337,0.0084956,0.152844,0.0625695,0.36844,-0.0712654,0.0555771,0.163132,0.103156,0.15302,0.0629413,0.417986,0.0688557,0
85,0.00963605,0.219787,-0.0218666,-0.0129558,0.167316,-0.0536049,0.165481,-0.0368745,-0.0607041,0.161466,-0.0136738,0.283401,-0.0192242,0.00806933,0.146077,0.0919297,0.22135,0.0665537,0.440715,0.085767,0
86,0.0645109,0.0252733,-0.0276285,0.071576,-0.0448646,0.0773895,0.00869126,-0.0129361,0.115047,-0.0264415,0.0604918,0.0479406,-0.0257592,0.0319548,-0.0562164,0.123726,0.183735,0.0811191,0.418718,0.0902255,0
87,0.0226616,0.255909,-0.0320845,0.0555596,0.171329,0.0246597,0.220019,-0.0614103,0.0164008,0.162994,0.0263579,0.256782,-0.0444095,0.0345708,0.160195,0.12477,0.180861,0.0663521,0.43542,0.0851641,0
88,0.0564646,-0.735388,0.0801382,-0.0993867,-0.391281,0.0453551,-0.787712,0.053708,-0.064707,-0.394494,0.0636126,-0.775317,0.0365571,-0.018123,-0.399662,0.112042,0.187813,0.0992626,0.402775,0.0572671,0
89,0.151503,0.266623,-0.117103,0.0609633,-0.189337,0.159532,0.247162,-0.101109,0.0546382,-0.173092,0.177759,0.245939,-0.0902429,0.0930434,-0.160734,0.111804,0.147134,0.0724512,0.399073,0.0639282,0
90,0.0425462,-0.371425,0.0392932,-0.0357108,-0.302653,0.0400483,-0.401556,0.0268769,-0.0622357,-0.304876,0.0330585,-0.408319,0.0264198,-0.014213,-0.306753,0.105576,0.213381,0.0828644,0.337001,0.0664417,0
91,-0.0751607,-0.610637,0.0331125,-0.016709,0.27255,-0.130664,-0.642072,0.0335532,-0.0170958,0.26029,-0.103475,-0.625331,0.0102178,-0.0357002,0.252142,0.111917,0.271301,0.0898441,0.349068,0.0903278,0
92,0.0335302,0.380264,-0.0117143,0.0674994,-0.073382,0.0230843,0.288053,-0.0158325,0.052955,-0.0482807,0.03298,0.357827,-0.0212421,0.0132808,-0.0736816,0.107259,0.182576,0.0640217,0.399464,0.0829621,0
93,0.0174732,-0.0279088,-0.0335436,-0.0117445,0.0357774,0.0125678,0.0358878,-0.0103552,0.103991,0.0314444,0.0238371,0.0276727,-0.0188903,0.0206948,0.0293017,0.100456,0.228699,0.0705709,0.439536,0.0787621,0
94,-0.0389327,0.178092,-0.0504171,0.0342373,0.2797,-0.0432272,0.314111,-0.0119168,0.0361229,0.255002,-0.0309167,0.257676,-0.0275469,0.0132813,0.265918,0.116136,0.22819,0.0693312,0.378569,0.102549,0
95,0.042885,-0.159137,0.00882961,0.0588755,-0.106791,0.0446846,-0.10653,0.0141001,-0.0327336,-0.120195,0.0272713,-0.156256,0.00447694,0.00395673,-0.119621,0.107477,0.210713,0.0720089,0.374244,0.079055,0
96,0.0197204,0.643025,-0.0759224,0.0138178,0.216003,0.0413943,0.698825,-0.0580877,0.0869648,0.211885,0.0235037,0.681354,-0.0614385,0.0270976,0.211485,0.110357,0.163348,0.0678724,0.36195,0.0626325,0
97,-0.0155395,0.860894,-0.0710264,0.0917611,0.252113,-2.61129e-5,0.876462,-0.0590033,-0.0289438,0.264102,-0.0028206,0.826948,-0.0521522,0.0111933,0.273869,0.108852,0.177387,0.0792971,0.40473,0.0859618,0
98,-0.0512204,0.650568,-0.0138746,-0.0993928,0.433707,-0.0743566,0.642661,-0.0391904,-0.00231054,0.411201,-0.0652215,0.633586,-0.0306158,0.00253329,0.418674,0.10325,0.260358,0.0580688,0.37973,0.0819778,0
99,0.0434345,0.110387,0.00306199,0.0323795,-0.132632,0.0176417,0.10604,-0.0255973,0.00563082,-0.157657,0.0246631,0.145295,0.000385914,0.00145453,-0.155583,0.1007,0.214009,0.0697767,0.362435,0.0721046,0
100,-0.035208,0.772552,0.0479611,-0.0552392,-0.0508055,-0.0601341,0.731002,0.050323,0.011472,-0.0483548,-0.0494066,0.792596,0.0395239,-0.0435979,-0.0681317,0.0914882,0.19039,0.061152,0.359456,0.0699251,0
101,0.0209908,0.482771,-0.0162589,0.127394,0.121126,-0.0090199,0.43681,-0.0290979,0.156041,0.129978,0.00841823,0.487871,-0.0288702,0.114506,0.111442,0.0995126,0.105224,0.0814337,0.369194,0.076708,1
102,-0.0758486,-0.218885,-0.00392408,-0.0266494,0.130877,-0.0287401,-0.223343,0.0091957,-0.0496686,0.165248,-0.0610906,-0.202746,0.000302468,-0.0388566,0.134273,0.129405,0.11161,0.0724999,0.363522,0.101605,1
103,0.030774,-0.0128697,-0.0112338,0.0416492,-0.0624492,-0.001535,0.00182443,0.0142171,-0.011266,-0.0714642,0.0219344,-0.00322683,-0.000370495,0.0155398,-0.0598716,0.103059,0.13265,0.0798272,0.419357,0.0717186,1
104,-0.0762411,0.017101,-0.0214581,0.0598498,0.0962808,-0.0293051,0.0277904,-0.00582142,-0.0741249,0.127012,-0.0327545,0.0555879,-0.00267364,-0.00756014,0.110178,0.102001,0.121062,0.0799127,0.368749,0.072252,1
105,0.0374669,-0.544669,0.00622627,-0.10563,0.0714668,0.0417978,-0.573397,0.00609482,-0.0970931,0.083796,-0.00728605,-0.544856,0.00590299,-0.0325355,0.0423378,0.109477,0.131792,0.0935065,0.376713,0.0780315,1
106,-0.0161652,0.358584,0.014339,0.0534219,0.013202,-0.0564509,0.405691,0.00679451,-0.111983,-0.0296741,-0.0367952,0.350919,-0.000952595,-0.0230441,0.000474311,0.111659,0.175464,0.0751205,0.315246,0.084824,1
