rep,id,eta_phiS,eta_deltaS,eta_phiL,eta_deltaL,eta_deltaA,GROUP
1,1,0.120762677731316,-0.343312478712928,0.0485531322635036,-0.185022852861913,0.35194555016465,0
2,1,-0.0912371696090405,-0.262056564753691,0.0192769389793137,0.220594469494129,0.15903637477999,0
3,1,-0.0450508730020902,-0.384551380204997,0.0563798268514405,-0.0653250402052282,0.291681030405976,0
1,2,0.125546521802428,-0.141284165466256,-0.0240278372215373,0.512840606769003,0.217282375347349,0
2,2,-0.0372611519914638,-0.0105640615633663,0.0343050867710629,0.215613557979844,0.182033652769357,0
3,2,-0.0548508917665909,0.189945256238442,-0.0129723542208753,-0.217777399892763,0.0854499022737493,0
1,3,0.049453168737405,0.580884375622097,0.0539361459386878,0.516055068750445,-0.121073409179006,0
2,3,-0.0294237939462191,-0.193410518849633,-0.0996810631132578,-0.394153612007888,-0.0428405760678878,0
3,3,-0.124213542891282,-0.106273947356547,-0.172378589112349,-0.389298120864247,-0.131841884558949,0
1,4,-0.307288360288691,0.207799079609366,0.0192716993176829,0.311615043773003,-0.0596226167620819,0
2,4,0.0658772110401841,0.19639053775981,0.181721745397161,0.874661044644543,0.0748259859044712,0
3,4,-0.385547829457902,0.382279211754694,-0.113281404549449,0.0701638950267019,-0.286752813820813,0
1,5,0.14980553504887,0.713999635117504,-0.0223489893778057,0.373775729627046,0.278519422965169,0
2,5,-0.122211519735757,0.0569791075821212,-0.0374506005821261,-0.474251627109622,0.376176912857171,0
3,5,0.0537487457597141,0.582368863195518,0.0548162552835149,0.110879991355125,0.330380289068584,0
1,6,-0.19999914714565,0.0896106787305172,0.0920352649006065,-0.0329195842601948,0.199058814266039,0
2,6,0.00429242253070929,-0.105465204253851,0.0262610744869871,-0.206820826816242,0.286200683456166,0
3,6,-0.0505190138207315,-0.307674675070956,0.0320407646004497,-0.53815078940611,0.362221985786097,0
1,7,0.0574843755060118,0.305233509488341,-0.0295601953741631,-0.358420779674496,0.146622369219967,0
2,7,0.108887876216816,0.477936380209913,-0.0581311003993945,-0.102441533480132,0.00907140648958437,0
3,7,0.0543280206727764,0.535864064307063,-0.0953456365780987,-0.376028878872638,-0.0435115557473965,0
1,8,-0.217399546584017,0.248277030366691,-0.135152968601974,0.15717921329305,0.00908201857612606,0
2,8,0.0424241759716682,0.56272256832998,0.0189928161602911,0.536181019987745,0.0656995353822389,0
3,8,-0.159744566481499,0.381037654974632,0.0339561338043816,-0.272886019837369,0.109255472974302,0
1,9,0.0909044177735153,-0.0791401818666561,-0.0503186151754669,-0.0299969729943298,-0.363216615924142,0
2,9,0.0716252609390944,-0.10691795867603,-0.0172657836428289,-0.337000577974569,-0.333244681959125,0
3,9,0.0418690645884055,0.48656245808649,0.00908796801356082,0.231473039653661,-0.476180783573498,0
1,10,-0.0311572591701949,-0.848242373984996,-0.104223703812545,-0.388798516432019,0.236284420251255,0
2,10,-0.33654396349863,-0.287609065986632,-0.0341262798735133,0.195620730110549,0.0157118917630124,0
3,10,-0.0611614067485634,-0.97539971688298,-0.0557985389318366,0.688510693222596,0.278814774179763,0
1,11,0.0061032982321254,1.24204713756369,-0.0635929649216833,0.25192214209268,-0.00682039974177063,0
