rep,id,phiS,deltaS,phiL,deltaL,deltaA,eta_phiS,eta_deltaS,eta_phiL,eta_deltaL,eta_deltaA
1,1,-0.0960257025120851,-2.60530838737063,-0.451040447101242,-6.98925988918186,0.0384530374046693,-0.158785851812887,-0.0182190700541609,0.0568857639693451,0.129371628774617,0.1763559384459
1,2,0.0157302796274622,-2.45107063187284,-0.395631825253813,-7.40005250569377,0.0216767083762859,-0.0470298696733398,0.136018685443625,0.112294385816774,-0.281420987737293,0.159579609417517
1,3,0.178677354165104,-2.50453298279112,-0.382345436904425,-7.43832215917056,-0.0295207476220214,0.115917204864302,0.0825563345253477,0.125580774166162,-0.31969064121408,0.10838215341921
1,4,0.0743209622929404,-2.80061171346662,-0.357489116363031,-7.02492234301778,0.0561799989922841,0.0115608129921383,-0.213522396150147,0.150437094707556,0.0937091749386978,0.194082900033515
1,5,0.218380975406678,-2.13586170041356,-0.557797927666133,-7.23291695429701,0.163696697113859,0.155620826105876,0.451227616902907,-0.0498717165955459,-0.114285436340532,0.30159959815509
1,6,-0.213031028709846,-2.03656138634147,-0.433140050213509,-6.84679622219546,-0.06227455606653,-0.275791178010648,0.550527930975001,0.0747861608570778,0.271835295761019,0.075628344974701
1,7,0.0168676178926267,-2.33083926924787,-0.522477336637095,-7.07739452877945,-0.043533450773914,-0.0458925314081753,0.256250048068599,-0.0145511255665077,0.0412369891770261,0.094369450267317
1,8,-0.20975223366341,-1.91709437940492,-0.551996175046376,-6.96367920321708,-0.170511339052037,-0.272512382964212,0.669994937911544,-0.0440699639757889,0.154952314739401,-0.032608438010806
1,9,0.140833800952151,-2.73890983171201,-0.541884543884244,-6.72320909741984,-0.482497418769112,0.0780736516513494,-0.151820514395545,-0.0339583328136565,0.395422420536637,-0.344594517727881
1,10,-0.110579214774691,-2.66412097870425,-0.493502003853623,-7.17382763857385,-0.0613267721438702,-0.173339364075493,-0.0770316613877786,0.0144242072169639,-0.0551961206173717,0.0765761288973609
1,11,0.114793287936178,-1.67801475779209,-0.679346592173144,-7.86247272097517,-0.220158428640582,0.052033138635376,0.909074559524373,-0.171420381102557,-0.743841203018694,-0.0822555275993511
1,12,0.21177120189248,-3.09760533673004,-0.440889508733692,-7.74925434955556,-0.352501000097905,0.149011052591677,-0.510516019413571,0.0670367023368949,-0.630622831599082,-0.214598099056674
1,13,-0.0407344064039002,-3.08280312216784,-0.509489342120321,-7.47943984499368,-0.0938916030546573,-0.103494555704702,-0.495713804851374,-0.0015631310497336,-0.360808327037205,0.0440112979865738
1,14,-0.00103050066639895,-2.08446395479884,-0.493432836446536,-6.47851706966196,-0.204214838058763,-0.063790649967201,0.502625362517626,0.0144933746240513,0.640114448294523,-0.0663119370175314
1,15,0.201185070950365,-2.45507361036366,-0.507025223520626,-7.7216677715784,0.22856682584849,0.138424921649563,0.132015706952806,0.000900987549961263,-0.603036253621923,0.366469726889721
1,16,0.0390575838612457,-2.21472705091275,-0.434646391940709,-7.21577085212363,-0.345764380258998,-0.0237025654395563,0.372362266403717,0.0732798191298779,-0.097139334167152,-0.207861479217767
1,17,0.15993313509183,-2.74668446720319,-0.557937844387185,-7.15232079101123,-0.248099111704998,0.0971729857910277,-0.159595149886726,-0.0500116333165977,-0.0336892730547476,-0.110196210663767
1,18,0.176164490072815,-2.88781911237876,-0.586334306572574,-7.08885859745238,-0.264574864441567,0.113404340772013,-0.30072979506229,-0.0784080955019869,0.0297729205040964,-0.126671963400336
1,19,0.170715647166429,-2.44615668158712,-0.477736492263883,-7.34408212559471,-0.340955760290301,0.107955497865627,0.140932635729353,0.0301897188067037,-0.225450607638227,-0.20305285924907
1,20,0.456114421974909,-2.63653606946716,-0.410128439195248,-7.13618573948859,0.149564406746048,0.393354272674107,-0.0494467521506867,0.0977977718753387,-0.0175542215321096,0.287467307787279
1,21,0.292359470632456,-3.17694035313279,-0.415489663623393,-6.90048204514475,-0.39494333179159,0.229599321331654,-0.589851035816322,0.0924365474471938,0.218149472811735,-0.257040430750359
1,22,-0.00408989936189921,-2.64858900814744,-0.600511686902783,-7.79166500622473,0.0653239115700228,-0.0668500486627013,-0.061499690830972,-0.0925854758321959,-0.673033488268254,0.203226812611254
1,23,0.214101191600746,-1.91645621146686,-0.498409940974317,-7.32297178515858,-0.333635512589335,0.151341042299944,0.670633105849612,0.00951627009626982,-0.204340267202102,-0.195732611548104
1,24,-0.118213757676844,-2.1695279347606,-0.422381976916079,-6.31587334460766,-0.064989906316978,-0.180973906977646,0.417561382555868,0.085544234154508,0.802758173348821,0.0729129947242531
1,25,0.202912404151433,-2.92766753789889,-0.56341183719145,-7.116917716729,-0.0346842190979792,0.140152254850631,-0.340578220582422,-0.0554856261208632,0.00171380122747777,0.103218681943252
1,26,-0.105709775196353,-3.14833948302519,-0.43096113615722,-7.11101477251889,-0.395883858477433,-0.168469924497155,-0.561250165708724,0.0769650749133667,0.00761674543758772,-0.257980957436202
1,27,0.236002929988219,-2.3799910163603,-0.62381581194242,-7.35527832761482,-0.180374779358355,0.173242780687417,0.20709830095617,-0.115889600871833,-0.236646809658343,-0.0424718783171239
1,28,-0.0299935976226362,-2.43364760561993,-0.568165282880325,-7.60871659685716,-0.312141075447267,-0.0927537469234382,0.153441711696535,-0.0602390718097375,-0.490085078900679,-0.174238174406036
1,29,0.178797945790421,-1.96325895323392,-0.595778318848918,-7.25963830597538,0.0170537146292373,0.116037796489619,0.623830364082547,-0.0878521077783304,-0.141006788018897,0.154956615670468
1,30,-0.0992351790480753,-2.56339371549533,-0.394008808974063,-7.28392866393989,-0.1438600583299,-0.161995328348877,0.0236956018211347,0.113917402096525,-0.16529714598341,-0.00595715728866875
1,31,0.099990629260443,-3.00730395506712,-0.474689949018443,-6.92033304290227,-0.57202522121645,0.037230479959641,-0.420214637750648,0.0332362620521444,0.198298475054207,-0.434122320175219
1,32,0.0547905042474548,-2.99939606622687,-0.458371894284644,-7.44592610389931,-0.324134811571795,-0.0079696450533472,-0.412306748910399,0.0495543167859429,-0.327294585942827,-0.186231910530564
1,33,0.0185071074962967,-2.13887274773159,-0.553479426404151,-6.80247388538642,-0.155499895717359,-0.0442530418045054,0.448216569584877,-0.0455532153335636,0.316157632570064,-0.0175969946761279
1,34,0.00349410103276868,-2.62048370257889,-0.539509048626431,-6.77397839437413,-0.00564875364911839,-0.0592660482680334,-0.0333943852624232,-0.0315828375558438,0.34465312358235,0.132254147392113
1,35,0.100522709226315,-2.13962455622099,-0.56332398955611,-6.93962581808038,-0.193680932167008,0.0377625599255128,0.447464761095475,-0.0553977784855226,0.179005699876098,-0.0557780311257766
1,36,0.310405361562035,-2.03829476859002,-0.511732019748314,-7.06278251955967,-0.228743109402719,0.247645212261233,0.548794548726446,-0.00380580867772706,0.0558489983968107,-0.0908402083614883
1,37,0.200055135409325,-2.19517400064682,-0.460360142279266,-7.43036255128612,-0.0187230312073376,0.137294986108523,0.391915316669652,0.047566068791321,-0.311731033329644,0.119179869833893
1,38,0.0775892397027489,-2.88823248531219,-0.551278014821855,-7.22030325395399,0.128123542361488,0.0148290904019469,-0.301143167995725,-0.0433518037512681,-0.101671735997511,0.266026443402719
1,39,0.0272663823030907,-3.49132412271993,-0.550137208832934,-7.41553459547824,0.0279150007302014,-0.0354937669977114,-0.904234805403461,-0.0422109977623465,-0.29690307752176,0.165817901771432
1,40,0.299344955339639,-3.4077585381004,-0.586049402872274,-6.81413682719089,-0.518412644547124,0.236584806038837,-0.820669220783931,-0.0781231918016874,0.304494690765588,-0.380509743505893
1,41,0.109595126277509,-2.50852394332701,-0.499279428339438,-6.75775086324439,0.0557809425848503,0.0468349769767069,0.0785653739894596,0.00864678273114916,0.360880654712088,0.193683843626081
1,42,0.25642584581,-2.70988042220586,-0.52301433478529,-7.2736523301671,-0.137669944956452,0.193665696509198,-0.122791104889389,-0.0150881237147027,-0.155020812210618,0.000232956084778635
1,43,0.0983223827648119,-2.41850080832002,-0.401802601107521,-6.58767257199368,-0.12819249758821,0.0355622334640098,0.168588508996444,0.106123609963066,0.530958945962801,0.00971040345302096
1,44,0.275116238233378,-3.25316730261966,-0.483287000666565,-6.7067351579596,-0.612927352295159,0.212356088932576,-0.666077985303196,0.0246392104040221,0.411896359996881,-0.475024451253928
1,45,0.0452969410092729,-2.49175416966591,-0.56228142078024,-7.3653602423878,0.0610411777405694,-0.0174632082915291,0.0953351476505602,-0.054355209709653,-0.246728724431325,0.1989440787818
1,46,0.0151734155183118,-3.15175250258955,-0.497047098247466,-7.34391123263836,0.112441907107635,-0.0475867337824902,-0.564663185273079,0.0108791128231208,-0.225279714681879,0.250344808148866
1,47,-0.26301798283418,-2.53878885205015,-0.529298733484589,-7.06581840326557,-0.0227934917738318,-0.325778132134982,0.0483004652663177,-0.0213725224140014,0.0528131146909114,0.115109409267399
1,48,-0.0355148833657243,-2.90234626528852,-0.498312384237811,-6.31197555800003,-0.295317113786382,-0.0982750326665263,-0.31525694797205,0.00961382683277645,0.806655959956454,-0.157414212745151
1,49,-0.0616102589368617,-2.18270154823612,-0.435899410455607,-7.08049232916415,-0.358594468333812,-0.124370408237664,0.404387769080346,0.0720268006149797,0.0381391887923268,-0.22069156729258
1,50,0.276680895091916,-2.2756820233935,-0.456900929642088,-7.09109416896232,-0.0524853713195186,0.213920745791114,0.311407293922967,0.0510252814284988,0.0275373489941613,0.0854175297217125
1,51,0.0971858511430709,-3.67038195299373,-0.492849001373312,-7.1668899255696,-0.246228357074951,0.0344257018422688,-1.08329263567726,0.0150772096972756,-0.0482584076131207,-0.10832545603372
1,52,-0.180040699383256,-2.48253116571155,-0.58388236358293,-7.47282921619221,-0.300869435049372,-0.242800848684058,0.10455815160492,-0.0759561525123426,-0.354197698235726,-0.162966534008141
1,53,0.108883090142317,-2.55716815823476,-0.504966721362924,-7.00864206683912,-0.0815899517087472,0.0461229408415151,0.0299211590817068,0.00295948970766302,0.109989451117363,0.0563129493324839
1,54,0.0249574129370056,-3.66012246953769,-0.511238643442672,-7.77139528243798,-0.34733927706009,-0.0378027363637965,-1.07303315222122,-0.00331243237208501,-0.652763764481503,-0.209436376018858
1,55,-0.0431078330079737,-3.26541020261373,-0.51055886661569,-7.08188992839858,0.0876322562244087,-0.105867982308776,-0.678320885297258,-0.0026326555451025,0.0367415895579004,0.22553515726564
1,56,0.0684553138031283,-3.28149926609975,-0.534020583128811,-7.28661581136168,-0.102200913374492,0.00569516450232629,-0.694409948783285,-0.0260943720582234,-0.167984293405195,0.0357019876667394
1,57,0.214631454946533,-2.89653773152343,-0.470748267830504,-6.97744150789083,-0.304384053840256,0.151871305645731,-0.30944841420696,0.0371779432400831,0.141190010065649,-0.166481152799025
1,58,0.0951934483933001,-3.30206998560251,-0.436519005643779,-6.57779179135168,0.260623934805754,0.0324332990924981,-0.714980668286045,0.0714072054268083,0.540839726604799,0.398526835846985
1,59,0.118346707145493,-2.14190146276586,-0.436125912808876,-7.22517294322718,-0.599849391890984,0.0555865578446913,0.44518785455061,0.0718002982617109,-0.106541425270704,-0.461946490849753
1,60,0.077604139046914,-2.94139755559293,-0.515525779851381,-7.06644362539073,-0.0672109240828623,0.014843989746112,-0.354308238276461,-0.00759956878079382,0.0521878925657537,0.0706919769583688
1,61,-0.00280904779181729,-2.19930983625967,-0.491758638516714,-6.75304390127989,0.0937592877393658,-0.0655691970926193,0.387779481056795,0.0161675725538734,0.365587616676587,0.231662188780597
1,62,-0.0136055073430184,-3.04736552150086,-0.399490340407199,-7.99274680477612,-0.219814977103466,-0.0763656566438204,-0.460276204184391,0.108435870663388,-0.874115286819641,-0.081912076062235
1,63,-0.0825547582920438,-2.50513566961782,-0.332254633531803,-6.92948940307279,0.24414730782229,-0.145314907592846,0.0819536476986524,0.175671577538784,0.18914211488369,0.382050208863521
